Year,Community_ID,Community_Name,Community_County,Community_FIPS_Code,Community_Region,Community_State,Community_Zip,Community_Population,Community_Median_Income,Shelter_ID,Shelter_Name,Org_Count,Shelter_Zip,Shelter_Type,Community_Lead,Begin_Count_D,Intake_Pub_H_D,Intake_Pub_TR_D,Intake_Pub_TM_D,Intake_Pub_UU_D,Intake_Pub_Total_D,Intake_In_Comm_H_D,Intake_In_Comm_TR_D,Intake_In_Comm_TM_D,Intake_In_Comm_UU_D,Intake_In_Comm_Total_D,Intake_Out_Comm_H_D,Intake_Out_Comm_TR_D,Intake_Out_Comm_TM_D,Intake_Out_Comm_UU_D,Intake_Out_Comm_Total_D,Intake_ORE_H_D,Intake_ORE_TR_D,Intake_ORE_TM_D,Intake_ORE_UU_D,Intake_ORE_Total_D,Total_Intake_D,ORE_Intake_UU_D,Total_Intake_Adj_D,Adoption_H_D,Adoption_TR_D,Adoption_TM_D,Adoption_UU_D,Total_Adoptions_D,Transfer_In_Comm_H_D,Transfer_In_Comm_TR_D,Transfer_In_Comm_TM_D,Transfer_In_Comm_UU_D,Transfer_In_Comm_Total_D,Transfer_Out_Comm_H_D,Transfer_Out_Comm_TR_D,Transfer_Out_Comm_TM_D,Transfer_Out_Comm_UU_D,Transfer_Out_Comm_Total_D,RTO_D,Return_Habitat_D,Euth_H_D,Euth_TR_D,Euth_TM_D,Euth_UU_D,Total_Euth_D,ORE_Euth_UU_D,Total_Euth_Adj_D,Sub_Outcomes_D,Died_Lost_D,Total_Outcomes_D,End_Count_D,Begin_Count_C,Intake_Pub_H_C,Intake_Pub_TR_C,Intake_Pub_TM_C,Intake_Pub_UU_C,Intake_Pub_Total_C,Intake_In_Comm_H_C,Intake_In_Comm_TR_C,Intake_In_Comm_TM_C,Intake_In_Comm_UU_C,Intake_In_Comm_Total_C,Intake_Out_Comm_H_C,Intake_Out_Comm_TR_C,Intake_Out_Comm_TM_C,Intake_Out_Comm_UU_C,Intake_Out_Comm_Total_C,Intake_ORE_H_C,Intake_ORE_TR_C,Intake_ORE_TM_C,Intake_ORE_UU_C,Intake_ORE_Total_C,Total_Intake_C,ORE_Intake_UU_C,Total_Intake_Adj_C,Adoption_H_C,Adoption_TR_C,Adoption_TM_C,Adoption_UU_C,Total_Adoptions_C,Transfer_In_Comm_H_C,Transfer_In_Comm_TR_C,Transfer_In_Comm_TM_C,Transfer_In_Comm_UU_C,Transfer_In_Comm_Total_C,Transfer_Out_Comm_H_C,Transfer_Out_Comm_TR_C,Transfer_Out_Comm_TM_C,Transfer_Out_Comm_UU_C,Transfer_Out_Comm_Total_C,RTO_C,Return_Habitat_C,Euth_H_C,Euth_TR_C,Euth_TM_C,Euth_UU_C,Total_Euth_C,ORE_Euth_UU_C,Total_Euth_Adj_C,Sub_Outcomes_C,Died_Lost_C,Total_Outcomes_C,End_Count_C
2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,ARF,Animal Rescue Foundation,1,36605,AG,N,84,70,184,66,4,324,1,1,1,0,3,25,286,52,1,364,0,0,0,0,0,691,0,691,80,317,61,0,458,0,0,0,0,0,177,18,2,0,197,0,0,0,0,0,28,28,0,28,683,0,683,82,19,1,2,1,0,4,0,4,1,0,5,1,8,0,0,9,0,0,0,0,0,18,0,18,6,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,13,0,13,19
2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,CMAS,City of Mobile Animal Shelter,1,36633,AC,N,106,399,895,289,1128,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,2744,33,2711,600,0,0,0,600,3,149,1,0,153,226,40,0,0,266,256,3,0,144,63,1114,1321,33,1288,2566,114,2680,137,98,41,223,15,838,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,1133,16,1117,157,0,0,0,157,4,30,2,0,36,6,1,0,0,7,9,4,0,5,4,737,746,16,730,943,229,1172,44
2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,CTYPR,City of Prichard Animal Control,1,36610,AC,N,7,232,92,161,224,709,0,0,0,0,0,0,0,0,0,0,24,5,8,33,70,779,33,746,20,5,3,0,28,11,2,0,0,13,52,8,11,1,72,76,0,86,67,66,299,518,39,479,668,58,726,21,1,30,2,13,55,100,0,0,0,0,0,0,0,0,0,0,9,0,10,29,48,148,26,122,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,3,0,10,10,19,76,115,26,89,101,19,120,3
2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,FOMAS,Friends of the Mobile Animal Shelter,1,36604,AG,N,16,0,0,0,0,0,0,120,0,0,120,0,0,0,0,0,0,0,0,0,0,120,0,120,0,120,0,0,120,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,123,4,127,10,8,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,24,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,6
2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,MBCAS,Mobile County Animal Shelter,1,36608,AC,N,103,2340,0,0,0,2340,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,2396,56,2340,839,0,0,0,839,0,0,0,0,0,0,804,0,0,804,190,0,72,273,14,243,602,56,546,2379,15,2394,51,29,531,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,541,10,531,95,0,0,0,95,0,0,0,0,0,0,239,0,0,239,4,0,2,24,20,176,222,10,212,550,10,560,0
2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,MSPCA,Mobile SPCA,1,36608,AG,Y,45,107,346,11,1,465,0,23,5,0,28,0,194,5,0,199,0,0,0,0,0,692,0,692,70,414,39,2,525,0,0,0,0,0,69,4,1,0,74,8,0,0,0,0,38,38,0,38,645,5,650,87,108,89,324,17,12,442,0,3,0,0,3,0,1,0,0,1,0,0,0,0,0,446,0,446,68,289,16,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,56,429,5,434,120
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,AHAZ,Almost Home Boxer Rescue,1,85070,AG,N,13,3,0,1,1,5,0,0,2,2,4,1,0,0,1,2,0,0,0,0,0,11,0,11,3,5,6,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,AAWL,Arizona Animal Welfare League,1,85034,AG,Y,140,264,678,53,57,1052,95,350,20,22,487,351,283,13,13,660,0,0,0,0,0,2199,0,2199,437,1452,110,89,2088,0,3,0,3,6,1,8,0,13,22,25,0,0,0,0,38,38,0,38,2179,5,2184,155,157,475,1025,6,81,1587,77,284,0,14,375,181,63,0,0,244,0,0,0,0,0,2206,0,2206,1334,616,38,54,2042,0,0,0,1,1,1,2,2,1,6,7,0,0,0,0,68,68,0,68,2124,87,2211,152
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,AHS,Arizona Humane Society,1,85041,TS,N,215,6152,1825,430,2812,11219,132,9,2,6,149,177,8,1,2,188,0,16,6,2758,2780,14336,2780,11556,4750,1565,159,122,6596,386,13,8,6,413,37,271,162,180,650,666,0,0,143,309,5464,5916,2780,3136,11461,113,11574,197,235,7583,3055,163,5444,16245,3,0,0,1,4,30,4,0,2,36,0,32,3,1092,1127,17412,1127,16285,4852,1098,22,60,6032,512,121,2,34,669,127,211,39,99,476,282,0,0,2221,136,6878,9235,1127,8108,15567,155,15722,798
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,FAR,Foothills Animal Rescue,1,85255,AG,N,29,92,0,2,0,94,262,5,1,0,268,0,0,0,0,0,0,0,0,0,0,362,0,362,315,16,9,0,340,0,0,7,0,7,0,0,0,0,0,5,0,0,0,1,8,9,0,9,361,1,362,29,40,143,3,21,3,170,36,1,1,0,38,0,0,0,0,0,0,0,0,0,0,208,0,208,179,5,5,0,189,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,10,11,0,11,202,2,204,44
